imdbID,Title,YearSinceRelease,AAMP Rating,Runtime,Genre,AvgDirectorRating,AvgWriterRating,AvgCastRating,imdbRating,Language,Country,Budget,Revenue
tt0098987,The Adventures of Ford Fairlane,26,R,104,"Action, Adventure, Comedy",5.7,6,5.5,6.2,English,USA,49000000,20423389
tt0099044,Another 48 Hrs.,26,R,93,"Action, Comedy, Crime",5.9,5.8,5.7,5.8,"English, Cantonese",USA,38000000,153518974
tt0099052,Arachnophobia,26,PG-13,103,"Comedy, Horror, Sci-Fi",6.4,5.9,6,6.3,"English, Spanish",USA,31000000,53208180
tt0099088,Back to the Future Part III,26,PG,118,"Comedy, Sci-Fi, Western",7.1,6.6,5.8,7.4,English,USA,40000000,244527583
tt0099142,BlackJack,26,UNRATED,111,"Drama, Music",5.2,5.6,5.1,5.5,Swedish,Sweden,33000,1624278
tt0099165,The Bonfire of the Vanities,26,R,125,"Comedy, Drama",6.1,5.4,6.2,5.4,English,USA,47000000,15691192
tt0099253,Child's Play 2,26,R,84,"Fantasy, Horror",4.8,5.3,5.9,5.7,English,USA,13000000,35763605
tt0099329,Cry-Baby,26,PG-13,85,"Comedy, Musical, Romance",6.2,6.5,6.1,6.5,English,USA,11000000,8266343
tt0099348,Dances with Wolves,26,PG-13,181,"Adventure, Drama, Western",7.1,8,6.3,8,"English, Sioux, Pawnee","USA, UK",22000000,424208848
tt0099365,Darkman,26,R,96,"Action, Crime, Fantasy",6.9,5.7,6.2,6.4,English,USA,16000000,48878502
tt0099371,Days of Thunder,26,PG-13,107,"Action, Drama, Sport",6.8,6,6.4,5.9,"English, French",USA,60000000,157920733
tt0099422,Dick Tracy,26,PG,105,"Action, Comedy, Crime",6.4,5.2,6.2,6.1,English,USA,47000000,103738726
tt0099423,Die Hard 2,26,R,124,"Action, Thriller",5.7,6.4,5.7,7.1,"English, Spanish",USA,70000000,240031094
tt0099487,Edward Scissorhands,26,PG-13,105,"Drama, Fantasy, Romance",7,7.2,6.3,8,English,USA,20000000,53000000
tt0099578,The First Power,26,R,98,"Crime, Horror, Thriller",5.6,5.6,5.3,5.6,English,USA,10000000,22424195
tt0099582,Flatliners,26,R,115,"Drama, Horror, Sci-Fi",6.3,6.3,6.2,6.5,English,USA,26000000,61308153
tt0099611,Frankenhooker,26,R,85,"Comedy, Horror, Sci-Fi",5.1,5.2,5.9,6.1,"English, Swedish",USA,2500000,205068
tt0099653,Ghost,26,PG-13,127,"Drama, Fantasy, Romance",6.4,6.4,6,7,English,USA,22000000,505000000
tt0099674,The Godfather: Part III,26,R,162,"Crime, Drama",6.3,6.6,6.1,7.6,"English, Italian, German, Latin",USA,54000000,136766062
tt0099685,Goodfellas,26,R,146,"Biography, Crime, Drama",7.7,8.3,6.2,8.7,"English, Italian",USA,25000000,46836394
tt0099697,Graveyard Shift,26,R,89,Horror,4.7,4.8,5.4,4.7,English,"USA, Japan",10500000,11582891
tt0099700,Gremlins 2: The New Batch,26,PG-13,106,"Comedy, Horror",5.9,6.4,5.5,6.3,English,USA,50000000,41482207
tt0099739,Hard to Kill,26,R,96,"Action, Drama, Crime",4.8,5.3,5.4,5.7,English,USA,10000000,47410000
tt0099740,Hardware,26,R,94,"Action, Sci-Fi, Thriller",5.7,6,5.7,5.9,English,"UK, USA",1500000,5728953
tt0099747,Havana,26,R,144,"Drama, Romance, War",6.1,6,6.1,6,"English, Spanish",USA,40000000,9243140
tt0099785,Home Alone,26,PG,103,"Comedy, Family",6.5,5.4,6.1,7.5,English,USA,18000000,476684675
tt0099800,House Party,26,R,100,"Comedy, Music, Romance",5.5,5.2,5.3,6.3,English,USA,2500000,26386000
tt0099810,The Hunt for Red October,26,PG,135,"Action, Adventure, Thriller",6.3,6.5,6.3,7.6,"English, Russian",USA,30000000,200512643
tt0099817,Dark Angel,26,R,91,"Action, Crime, Horror",5.6,5.5,5.4,6,English,USA,7000000,9229401
tt0099871,Jacob's Ladder,26,R,113,"Drama, Horror, Mystery",6.7,6.4,6.1,7.5,English,USA,25000000,25965144
tt0099938,Kindergarten Cop,26,PG-13,111,"Action, Comedy, Crime",5.8,6.1,6,6,"English, Spanish",USA,15000000,201957688
tt0100029,Lionheart,26,R,108,"Action, Drama, Sport",5.2,5.6,5.4,6.1,English,USA,6000000,24078196
tt0100083,Macken - Roy's & Roger's Bilservice,26,UNRATED,92,Comedy,6.3,6.3,6.2,5.9,"Swedish, Danish, English",Sweden,1497520,6137054
tt0100114,Marked for Death,26,R,93,"Action, Adventure, Crime",5.7,5.2,5.3,5.9,English,USA,12000000,46044400
