imdbID,Countrys_English,Countrys_Spanish,Countrys_European,Countrys_Asian,Countrys_Arabic,Countrys_Other
tt0098987,1,0,0,0,0,0
tt0099044,1,0,0,0,0,0
tt0099052,1,0,0,0,0,0
tt0099088,1,0,0,0,0,0
tt0099142,0,0,1,0,0,0
tt0099165,1,0,0,0,0,0
tt0099253,1,0,0,0,0,0
tt0099329,1,0,0,0,0,0
tt0099348,1,0,0,0,0,0
tt0099365,1,0,0,0,0,0
tt0099371,1,0,0,0,0,0
tt0099422,1,0,0,0,0,0
tt0099423,1,0,0,0,0,0
tt0099487,1,0,0,0,0,0
tt0099578,1,0,0,0,0,0
tt0099582,1,0,0,0,0,0
tt0099611,1,0,0,0,0,0
tt0099653,1,0,0,0,0,0
tt0099674,1,0,0,0,0,0
tt0099685,1,0,0,0,0,0
tt0099697,1,0,0,1,0,0
tt0099700,1,0,0,0,0,0
tt0099739,1,0,0,0,0,0
tt0099740,1,0,0,0,0,0
tt0099747,1,0,0,0,0,0
tt0099785,1,0,0,0,0,0
tt0099800,1,0,0,0,0,0
tt0099810,1,0,0,0,0,0
tt0099817,1,0,0,0,0,0
tt0099871,1,0,0,0,0,0
tt0099938,1,0,0,0,0,0
tt0100029,1,0,0,0,0,0
tt0100083,0,0,1,0,0,0
tt0100114,1,0,0,0,0,0
tt0100129,1,0,0,0,0,0
tt0100140,1,0,0,0,0,0
tt0100150,1,0,0,0,0,0
tt0100157,1,0,0,0,0,0
tt0100168,1,0,0,0,0,0
tt0100201,1,0,0,0,0,0
tt0100240,1,0,1,0,0,0
tt0100258,1,0,0,0,0,0
tt0100403,1,0,0,0,0,0
tt0100405,1,0,0,0,0,0
tt0100477,1,0,0,0,0,0
tt0100502,1,0,0,0,0,0
tt0100507,1,0,0,0,0,0
tt0100594,1,0,1,0,0,0
tt0100666,1,0,0,0,0,0
tt0100758,1,0,0,0,0,0
tt0100802,1,0,0,0,0,0
tt0100814,1,0,0,0,0,0
tt0100828,1,0,0,0,0,0
tt0100935,1,0,0,0,0,0
tt0101272,1,0,0,0,0,0
tt0101371,1,0,0,0,0,0
tt0101373,1,1,0,0,0,0
tt0101393,1,0,0,0,0,0
tt0101410,1,0,0,0,0,0
tt0101414,1,0,0,0,0,0
tt0101507,1,0,0,0,0,0
tt0101540,1,0,0,0,0,0
tt0101587,1,0,0,0,0,0
tt0101615,1,0,0,0,0,0
tt0101700,0,0,1,0,0,0
tt0101701,1,0,0,0,0,0
tt0101757,1,0,0,0,0,0
tt0101761,1,0,0,0,0,0
tt0101764,1,0,0,0,0,0
tt0101786,1,0,0,0,0,0
tt0101889,1,0,0,0,0,0
tt0101902,1,0,0,0,0,0
tt0101917,1,0,0,0,0,0
tt0101921,1,0,0,0,0,0
tt0102034,1,1,1,0,0,0
tt0102057,1,0,0,0,0,0
tt0102059,1,0,0,0,0,0
tt0102070,1,0,0,0,0,0
tt0102116,1,0,0,1,0,0
tt0102138,1,0,1,0,0,0
tt0102175,1,0,0,0,0,0
tt0102266,1,0,0,0,0,0
tt0102395,1,0,0,0,0,0
tt0102411,1,0,0,0,0,0
tt0102460,1,0,0,0,0,0
tt0102510,1,0,0,0,0,0
tt0102526,1,0,0,0,0,0
tt0102558,1,0,0,0,0,0
tt0102603,1,0,0,0,0,0
tt0102614,1,0,0,0,0,0
tt0102631,1,0,0,0,0,0
tt0102685,1,0,0,1,0,0
tt0102687,1,0,0,0,0,0
