imdbID,Action,Adventure,Animation,Comedy,Biography,Crime,Drama,Documentary,Family,Fantasy,History,Horror,Mystery,Romance,Sci-Fi,Thriller,Western,Sport,Music,Musical,War
tt0098987,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099044,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099052,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tt0099142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0099088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt0099165,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099329,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
tt0099253,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
tt0099348,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0099365,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0099371,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0099422,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0099487,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
tt0099578,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
tt0099611,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tt0099582,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tt0099653,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
tt0099674,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099685,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099697,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt0099700,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt0099739,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099740,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
tt0099747,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
tt0099785,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0099810,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0099817,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt0099800,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt0099871,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tt0099938,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0100029,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0100114,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
